Plot Rep Block Genotype Lat Loc Year Environment EV_V4 EV_V6 PH_V4 PH_V6 PH_final LO TILL FF MF
6126 2 613 DH_KE0150 31 ROG 2017 2017.ROG 6 6 28.66666667 70.66666667 144 7 3 68 NA
6128 2 613 DH_PE0425 31 ROG 2017 2017.ROG 7 6 30 68.33333333 154.3333333 2 6 61 NA
6129 2 613 DH_KE0265 31 ROG 2017 2017.ROG 4 4 21.33333333 56.33333333 138.3333333 1 1 74 NA
6130 2 613 DH_KE0338 31 ROG 2017 2017.ROG 6 5 27.33333333 63.66666667 138.6666667 2 1 72 NA
6131 2 614 DH_PE0235 31 ROG 2017 2017.ROG 6 6 27.33333333 70 90.33333333 1 5 64 NA
6132 2 614 DH_KE0239 31 ROG 2017 2017.ROG 6 5 22.33333333 52.33333333 112 2 1 64 NA
6133 2 614 DH_KE0379 31 ROG 2017 2017.ROG 5 5 28.33333333 67.66666667 135 4 3 74 NA
6135 2 614 DH_KE0618 31 ROG 2017 2017.ROG 5 5 28 60 149 8 1 70 NA
6137 2 614 DH_PE0263 31 ROG 2017 2017.ROG 6 6 27.66666667 63.66666667 116.6666667 1 1 70 NA
6138 2 614 DH_PE0032 31 ROG 2017 2017.ROG 4 5 22.33333333 61.33333333 113.3333333 6 3 80 NA
6140 2 614 DH_KE0648 31 ROG 2017 2017.ROG 7 7 26 70.33333333 125 9 3 72 NA
6141 2 615 DH_KE0517 31 ROG 2017 2017.ROG 5 5 22.33333333 54 113.5 7 1 91 NA
6142 2 615 DH_KE0206 31 ROG 2017 2017.ROG 8 8 33.66666667 88 139.6666667 1 2 70 NA
6143 2 615 DH_KE0439 31 ROG 2017 2017.ROG 6 6 25.33333333 63.66666667 124 1 5 70 NA
6144 2 615 DH_KE0719 31 ROG 2017 2017.ROG 6 6 25.33333333 56.66666667 139 1 5 66 NA
6146 2 615 DH_KE0073 31 ROG 2017 2017.ROG 5 4 26 61.66666667 134.6666667 1 4 68 NA
6147 2 615 DH_KE0493 31 ROG 2017 2017.ROG 6 6 30.66666667 69.66666667 178 1 1 64 NA
6148 2 615 DH_PE0158 31 ROG 2017 2017.ROG 6 7 30.66666667 73.66666667 153 6 5 82 NA
6149 2 615 DH_PE0018 31 ROG 2017 2017.ROG 6 6 28.33333333 71.66666667 120.3333333 3 4 70 NA
6151 2 616 DH_PE0139 31 ROG 2017 2017.ROG 7 6 30.33333333 70.33333333 117.6666667 1 6 70 NA
6152 2 616 DH_KE0116 31 ROG 2017 2017.ROG 6 6 28.33333333 77 182.3333333 1 2 78 NA
6154 2 616 DH_KE0042 31 ROG 2017 2017.ROG 7 7 27 71 149.6666667 1 4 70 NA
6155 2 616 DH_KE0652 31 ROG 2017 2017.ROG 6 7 28.66666667 73.33333333 130.3333333 1 2 74 NA
6156 2 616 DH_KE0027 31 ROG 2017 2017.ROG 6 6 27.66666667 68.33333333 127.6666667 1 1 64 NA
6157 2 616 DH_KE0152 31 ROG 2017 2017.ROG 4 6 21 58.33333333 126.6666667 1 3 72 NA
6158 2 616 DH_KE0281 31 ROG 2017 2017.ROG 7 7 32.66666667 86.66666667 141.6666667 1 5 64 NA
6160 2 616 DH_PE0221 31 ROG 2017 2017.ROG 7 7 31 81.33333333 121.6666667 1 5 64 NA
6161 2 617 DH_PE0069 31 ROG 2017 2017.ROG 7 8 29.66666667 80 100.3333333 2 6 70 NA
6162 2 617 DH_PE0279 31 ROG 2017 2017.ROG 6 5 34.33333333 83.66666667 130.6666667 1 7 64 NA
6163 2 617 DH_PE0327 31 ROG 2017 2017.ROG 5 6 24.33333333 72.33333333 146.3333333 1 3 82 NA
6164 2 617 DH_KE0253 31 ROG 2017 2017.ROG 5 4 23.33333333 51.66666667 132.3333333 1 1 72 NA
6167 2 617 DH_KE0189 31 ROG 2017 2017.ROG 5 6 22.33333333 68 170.3333333 4 2 78 NA
6168 2 617 DH_PE0330 31 ROG 2017 2017.ROG 4 4 22.66666667 54.66666667 125 1 5 78 NA
6169 2 617 DH_PE0378 31 ROG 2017 2017.ROG 7 7 29.33333333 77.66666667 149 1 2 74 NA
6170 2 617 DH_PE0324 31 ROG 2017 2017.ROG 6 6 30.33333333 72.66666667 161.3333333 1 3 72 NA
6171 2 618 DH_KE0466 31 ROG 2017 2017.ROG 6 6 31 72.66666667 161.3333333 2 4 76 NA
6173 2 618 DH_KE0560 31 ROG 2017 2017.ROG 6 6 26.33333333 69.66666667 143.6666667 1 5 68 NA
6174 2 618 DH_KE0399 31 ROG 2017 2017.ROG 5 6 24.66666667 71 159.3333333 1 1 68 NA
6175 2 618 DH_PE0030 31 ROG 2017 2017.ROG 5 5 19.66666667 55.33333333 113.3333333 2 7 72 NA
6176 2 618 DH_KE0602 31 ROG 2017 2017.ROG 5 5 28.33333333 60 116.6666667 1 5 70 NA
6177 2 618 DH_KE0552 31 ROG 2017 2017.ROG 5 6 24.66666667 66.33333333 124.6666667 1 1 74 NA
